管理id,アクアマリン,ルビー,トウキョウリメイク,R7新年会版,R7正式版,除外,管理ID_初年度登録,管理ID_バイク,管理ID_パッケージ,エントリー日,name,連絡,sns,情報,写真,なまえ,都道府県,身長,メーカー名情報,車種名情報,年式情報,オーナー備考,name_alph,エントリーNo.,pass_photo,pass_bg_maker,,US作業,UG作業,型番,メーカー,_メーカーAlph,_メーカー国,車種1,車種2,馬力ps,燃費km/l,燃費注釈,シートmm,全長mm,乾燥重量,装備重量,車重kg,車重の注釈,価格yen,税別価格,税率,税込価格yen,価格注釈,年式year,年式注釈,排気量,排気量単位,ミッション,気筒数,エンジンモーター,情報ソースURL,備考,,pass_bg_class,pass_back,確率,,pic_path
-,,,,,,除外,,,,,ウワガキ,オフ,local,local,local,ウワガキ,神奈川県,170,BMW,C600 Sport,2015,,uwagaki,test1,-.jpg,, ,,-,EBL-C65AA,ビーエムダブリュー,BMW,ドイツ,C600 Sport,,60,23,,810,2170,,,246,※乾燥重量,112,,,,希望小売価格,2015,日本仕様,647,cc,AT,2,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
-,,,,,,除外,,,,,ウシ,オフ,local,local,local,ウシ,神奈川県,168,Honda,CB400 SUPER FOUR HYPER VTEC Ⅲ,2003,,usi,test2,-.jpg,, ,,-,BC-NC39,ホンダ,HONDA,日本,CB400,SUPER FOUR HYPER VTEC Ⅲ,53,15,,755,2080,,,174,※乾燥重量,77,,,,希望小売価格,2003,日本仕様,399cc,cc,MT,4,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
-,,,,,,除外,,,,,ヨシタカ,オフ,local,local,local,ヨシタカ,東京都,168,Suzuki,Hayabusa,2006,,yoshitaka,test3,-.jpg,, ,,-,,スズキ,SUZUKI,日本,Hayabusa,,188,15,,800,2180,,,264,※乾燥重量,216,,,,希望小売価格,1999,日本仕様,1338,cc,MT,4,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
-,,,,,,除外,,,,,ヨシタカ,オフ,local,local,local,ヨシタカ,東京都,168,Suzuki,Hayabusa,2006,,yoshitaka,test4,-.jpg,, ,,-,,スズキ,SUZUKI,日本,Hayabusa,,188,15,,800,2180,,,264,※乾燥重量,216,,,,希望小売価格,1999,日本仕様,1338,cc,MT,4,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
-,,,,,,除外,,,,-,ヨシタカ,オフ,local,local,local,ヨシタカ,東京都,168,Suzuki,Hayabusa,2006,,yoshitaka,test5,-.jpg,, ,,-,GX72A後期,スズキ,SUZUKI,日本,Hayabusa,,188,15,,800,2180,,,264,※乾燥重量,216,,,,希望小売価格,1999,日本仕様,1338,cc,MT,4,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
-,,,,,,除外,,,,,,,,,,,,,,,,,,1,-.jpg,, ,,,,,#N/A,#N/A,,,,,優先：１WMTC、２実燃費（みんカラ）、３実燃費（ブログや個人サイトで信憑性ありそうなもの）４，どうしてもなかったら持ち主に丸投げ,　,,,,,優先：１乾燥、２装備,　,,,,優先：１新車、２中古相場価格税込,　,基本は、日本仕様,　,,,,,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0001,○,,,○,〇,,TMR05,0001,AR,-,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,BMW,C600 Sport,2015,,uwagaki,1,src/img/bike_0001.jpg,src/img/bg_ビーエムダブリュー.svg, ,ok,ok,EBL-C65AA,ビーエムダブリュー,BMW,ドイツ,C600 Sport,,60,23,WMTC値燃費,810,2170,231,246,246,装備重量車重,112,112,8%,121,希望小売価格,2015,日本仕様,647,cc,AT,2,4st,"https://www.bikebros.co.jp/catalog/7/6_3/
https://www.virginbmw.com/technical/technical08/tc08-05/#:~:text=%E3%80%90C600Sport%E3%80%91%20%E5%85%A8%E9%95%B7%202%2C155mm%E3%80%81,%E3%82%B9%E3%83%86%E3%83%83%E3%83%97%E3%81%8C%E8%A3%85%E5%82%99%E3%81%95%E3%82%8C%E3%82%8B%E3%80%82",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0002,,◆,,,,,TMR05,0002,AR,-,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,Yamaha,TMAX,2005,,uwagaki,2,src/img/bike_0002.jpg,src/img/bg_ヤマハ.svg, ,ok,ok,BC-SJ04J,ヤマハ,YAMAHA,日本,TMAX,,38,19,実燃費（投稿サイト情報）,795,2235,205,225,225,装備重量車重,40,,,40,中古相場価格税込,2005,日本仕様,499,cc,AT,2,4st,"https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=2&bike_series_cd=67&bike_cd=1&bike_model_id=8602
https://www.bikebros.co.jp/catalog/2/67_1/#spec_top",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0003,,◆,,,,,TMR05,0003,AR,,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,Kymco,AGILITY 125,2009,,uwagaki,3,src/img/bike_0003.jpg,src/img/bg_キムコ.svg, ,ok※車両重量不明,,,キムコ,KYMCO,台湾,AGILITY 125,,9,31,実燃費（個人サイト情報）,790,1980,121.5,,121.5,乾燥重量車重,27,27,5%,28,希望小売価格,2009,日本仕様,125,cc,AT,1,4st,"https://www.weblio.jp/content/Agility+125
https://www.bikebros.co.jp/catalog/41/10_3/",,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
0004,,◆,,,,,TMR05,0004,AR,,ウワガキ,オフ,local,local,local,@ウワガキみわた,神奈川県,170cm,Kawasaki,KLX250ES,1994,,uwagaki,4,src/img/bike_0004.jpg,src/img/bg_カワサキ.svg, ,ok,,LX250E,カワサキ,KAWASAKI,日本,KLX250ES,,30,23,実燃費（投稿サイト情報）,885,2135,119,133,133,装備重量車重,46,46,,47,希望小売価格,1994,日本仕様,249,cc,MT,1,4st,"https://www.bikebros.co.jp/catalog/4/40_14/#spec_top
https://www.autoby.jp/_ct/17321322/album/16787846/image/16860209",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
